TIPO,Residencial,Comercial,Industrial/Comercial Grande,TOTAL
2013-01-01,4538446.146000001,3319300.732,3276372.4669999997,11134119.345
2013-02-01,3961686.119,2820263.212,3052210.6760000004,9834160.007000001
2013-03-01,3612835.111,2861328.9310000003,3281965.2660000003,9756129.308
2013-04-01,3239380.702,2826797.31,3241156.151,9307334.162999999
2013-05-01,3919668.9960000003,2948663.278,3364493.12,10232825.394
2013-06-01,4409513.94,2873790.5730000003,3077232.68099999,10360537.194
2013-07-01,5088495.112,2956731.611,3110946.67,11156173.393
2013-08-01,4782603.023,2922991.7610000004,3198884.459,10904479.242999999
2013-09-01,4072686.172,2900911.235,3222275.588,10195872.995
2013-10-01,3744478.1969999997,2932005.209,3369232.2260000003,10045715.632000001
2013-11-01,3680736.4480000003,2990708.083,3344257.1210000003,10015701.652
2013-12-01,5338633.5819999995,3584315.252,3368337.659,12291286.492999999
2014-01-01,5350967.24,3391625.271,3261749.857,12004342.367999999
2014-02-01,3883775.33,2809183.1289999997,3131009.74200001,9823968.20100001
2014-03-01,3666868.6810000003,2868175.287,3254754.8210000005,9789798.788999999
2014-04-01,3542163.135,2823804.31,3229406.905,9595374.35000001
2014-05-01,4182488.527,2942788.227,3283828.252,10409105.006000001
2014-06-01,4790674.034,2934233.8439999996,3176807.098,10901714.976
2014-07-01,5115928.828,3048696.0739999996,3199317.2,11363942.102
2014-08-01,4454936.701,2872443.269,3163302.41900001,10490682.389
2014-09-01,3746934.6960000005,2862307.872,3198301.623,9807544.191
2014-10-01,4186567.587,3107339.3819999998,3412586.172,10706493.141
2014-11-01,3928614.0710000005,3048429.9069999997,3367692.6939999997,10344736.672
2014-12-01,4594222.428,3285891.2389999996,3349264.153,11229377.82
2015-01-01,5096405.805,3362160.2430000002,3247624.045,11706190.093
2015-02-01,4438153.482,3076340.8210000005,3150592.318,10665086.621
2015-03-01,4823967.7,3263679.403,3460879.9689999996,11548527.072
2015-04-01,3756852.8430000003,2962996.604,3306585.313,10026434.76
2015-05-01,4224672.651000001,2979187.146,3263773.896,10467633.693
2015-06-01,4941275.59,3090851.165,3222292.912,11254419.667000001
2015-07-01,5513160.882,3167257.017,3226944.02,11907361.919000002
2015-08-01,4797705.1219999995,3107591.1089999997,3224966.577,11130262.808
2015-09-01,4350513.945,2974027.512,3228361.784,10552903.241
2015-10-01,4362416.913,3011162.495,3348594.98100001,10722174.389
2015-11-01,3922901.043,2974462.4060000004,3321826.0330000003,10219189.482
2015-12-01,5196471.96,3381377.415,3331586.18600001,11909435.560999999
2016-01-01,5651444.906,3444350.2010000004,3249116.655,12344911.762
2016-02-01,5012922.114,3502617.7630000003,3216305.224,11731845.101
2016-03-01,4021324.893,3147650.058,3292500.975,10461475.926
2016-04-01,4104173.8639999996,3012916.435,3174910.565,10292000.864
2016-05-01,4941093.083000001,3238169.8880000003,3172870.812,11352133.783
2016-06-01,5634160.61400001,3225607.2430000002,2950817.6789999995,11810585.535999998
2016-07-01,5586293.007,3297117.986,3037183.298,11920594.291
2016-08-01,4670442.057,3142684.389,3030771.019,10843897.465
2016-09-01,4314994.32,3024415.7389999996,3032124.027,10371534.086000001
2016-10-01,3951646.962,2947505.001,3043809.584,9942961.547
2016-11-01,3949015.224,3052952.547,3124347.893,10126315.663999999
2016-12-01,5134842.971,3432016.548,3184458.903,11751318.422
2017-01-01,5672987.469,3598534.747,3170843.423,12442365.639
2017-02-01,4618226.1,3415380.127,3041300.272,11074906.499000002
2017-03-01,4470715.1219999995,3307774.508,3343741.925,11122231.555
2017-04-01,3754330.119,2900824.1410000003,3138604.325,9793758.585
2017-05-01,4524024.791,3032368.488,3238820.1360000004,10795213.415
2017-06-01,5180585.33499999,3071333.622,3107411.705,11359330.662
2017-07-01,5460615.92500001,3170032.595,3165777.2369999997,11796425.757000001
2017-08-01,4767354.968,3124972.6119999997,3214923.125,11107250.705
2017-09-01,4217808.567,3010747.755,3120028.2260000003,10348584.548
2017-10-01,3979729.611,3041227.208,3206372.494,10227329.313
2017-11-01,4035431.94,3070853.235,3249442.311,10355727.486
2017-12-01,5216357.134,3551645.486,3256592.841,12024595.461
2018-01-01,5468423.591,3606989.0739999996,3274770.655,12350183.32
2018-02-01,4963781.74,3277824.4080000003,3162596.7339999997,11404202.882000001
2018-03-01,4492917.161,3342913.6,3411411.372,11247242.133
2018-04-01,4084109.75,3131427.393,3277777.442,10493314.585
2018-05-01,4282679.703,3097163.189,3285618.615,10665461.507000001
2018-06-01,5589702.67199999,3222878.693,3113331.102,11925912.467
2018-07-01,6193110.2129999995,3301220.901,3113221.608,12607552.722000001
2018-08-01,5381723.02199999,3225202.776,3114379.334,11721305.132000001
2018-09-01,3927008.068,2897108.849,2968252.1780000003,9792369.095
2018-10-01,3944426.8680000002,2938003.038,3021788.7630000003,9904218.66899999
2018-11-01,4001431.2810000004,2965539.2189999996,3068178.876,10035149.376
2018-12-01,4687693.0,3222629.494,2952690.0510000004,10863012.545
2019-01-01,5280299.002,3397334.473,3021186.9269999997,11698820.402
2019-02-01,4641198.268999999,3123698.784,2942058.264,10706955.317
2019-03-01,4004709.4439999997,3044854.983,3072063.284,10121627.711000001
2019-04-01,3652724.519,2892482.731,3029687.889,9574895.139
2019-05-01,4356836.823,2973830.213,3055527.035,10386194.071
2019-06-01,4816838.191000001,2937048.667,2897618.673,10651505.531
2019-07-01,5704951.016,3288949.873,3035538.422,12029439.310999999
