Date,Inflation
Dec-1948,2.7
Mar-1949,2.6
Jun-1949,2.6
Sep-1949,2.5
Dec-1949,0.0
Mar-1950,2.4
Jun-1950,2.4
Sep-1950,2.3
Dec-1950,4.5
Mar-1951,4.3
Jun-1951,6.3
Sep-1951,3.9
Dec-1951,7.5
Mar-1952,3.5
Jun-1952,3.4
Sep-1952,1.6
Dec-1952,1.6
Mar-1953,0.0
Jun-1953,1.6
Sep-1953,1.6
Dec-1953,-1.5
Mar-1954,1.6
Jun-1954,0.0
Sep-1954,0.0
Dec-1954,0.0
Mar-1955,0.0
Jun-1955,1.5
Sep-1955,0.0
Dec-1955,1.5
Mar-1956,0.0
Jun-1956,4.5
Sep-1956,1.4
Dec-1956,0.0
Mar-1957,0.0
Jun-1957,1.4
Sep-1957,0.0
Dec-1957,0.0
Mar-1958,0.0
Jun-1958,0.0
Sep-1958,0.0
Dec-1958,1.4
Mar-1959,0.0
Jun-1959,0.0
Sep-1959,1.4
Dec-1959,1.4
Mar-1960,0.0
Jun-1960,1.3
Sep-1960,1.3
Dec-1960,1.3
Mar-1961,0.0
Jun-1961,1.3
Sep-1961,-1.3
Dec-1961,0.0
Mar-1962,0.0
Jun-1962,0.0
Sep-1962,0.0
Dec-1962,0.0
Mar-1963,0.0
Jun-1963,0.0
Sep-1963,1.3
Dec-1963,0.0
Mar-1964,1.3
Jun-1964,0.0
Sep-1964,1.3
Dec-1964,1.2
Mar-1965,0.0
Jun-1965,1.2
Sep-1965,1.2
Dec-1965,1.2
Mar-1966,1.2
Jun-1966,0.0
Sep-1966,0.0
Dec-1966,1.2
Mar-1967,1.1
Jun-1967,1.1
Sep-1967,1.1
Dec-1967,0.0
Mar-1968,1.1
Jun-1968,0.0
Sep-1968,1.1
Dec-1968,0.0
Mar-1969,2.2
Jun-1969,0.0
Sep-1969,1.1
Dec-1969,0.0
Mar-1970,1.1
Jun-1970,1.0
Sep-1970,1.0
Dec-1970,2.0
Mar-1971,1.0
Jun-1971,1.0
Sep-1971,2.9
Dec-1971,1.9
Mar-1972,0.9
Jun-1972,0.9
Sep-1972,1.8
Dec-1972,0.9
Mar-1973,1.8
Jun-1973,3.5
Sep-1973,3.4
Dec-1973,3.3
Mar-1974,3.2
Jun-1974,3.8
Sep-1974,5.2
Dec-1974,3.5
Mar-1975,4.1
Jun-1975,3.3
Sep-1975,0.6
Dec-1975,5.7
Mar-1976,3.0
Jun-1976,2.3
Sep-1976,2.3
Dec-1976,6.1
Mar-1977,2.1
Jun-1977,2.6
Sep-1977,2.0
Dec-1977,2.4
Mar-1978,1.4
Jun-1978,1.9
Sep-1978,1.8
Dec-1978,2.3
Mar-1979,1.8
Jun-1979,2.6
Sep-1979,2.5
Dec-1979,2.9
Mar-1980,2.0
Jun-1980,3.1
Sep-1980,1.5
Dec-1980,2.3
Mar-1981,2.2
Jun-1981,2.2
Sep-1981,2.1
Dec-1981,4.1
Mar-1982,2.0
Jun-1982,2.3
Sep-1982,3.5
Dec-1982,3.1
Mar-1983,2.1
Jun-1983,2.0
Sep-1983,1.7
Dec-1983,2.5
Mar-1984,-0.5
Jun-1984,0.3
Sep-1984,1.4
Dec-1984,1.4
Mar-1985,1.3
Jun-1985,2.4
Sep-1985,2.3
Dec-1985,2.0
Mar-1986,2.2
Jun-1986,1.7
Sep-1986,2.6
Dec-1986,2.8
Mar-1987,2.0
Jun-1987,1.5
Sep-1987,1.7
Dec-1987,1.7
Mar-1988,1.7
Jun-1988,1.9
Sep-1988,1.8
Dec-1988,2.0
Mar-1989,1.0
Jun-1989,2.5
Sep-1989,2.3
Dec-1989,1.8
Mar-1990,1.8
Jun-1990,1.6
Sep-1990,0.7
Dec-1990,2.6
Mar-1991,-0.2
Jun-1991,0.2
Sep-1991,0.5
Dec-1991,1.0
Mar-1992,0.0
Jun-1992,-0.3
Sep-1992,0.2
Dec-1992,0.5
Mar-1993,0.8
Jun-1993,0.3
Sep-1993,0.5
Dec-1993,0.2
Mar-1994,0.5
Jun-1994,0.7
Sep-1994,0.6
Dec-1994,0.8
Mar-1995,1.6
Jun-1995,1.4
Sep-1995,1.2
Dec-1995,0.8
Mar-1996,0.3
Jun-1996,0.8
Sep-1996,0.3
Dec-1996,0.1
Mar-1997,0.1
Jun-1997,-0.3
Sep-1997,-0.4
Dec-1997,0.3
Mar-1998,0.3
Jun-1998,0.6
Sep-1998,0.1
Dec-1998,0.4
Mar-1999,0.0
Jun-1999,0.4
Sep-1999,0.9
Dec-1999,0.6
Mar-2000,0.9
Jun-2000,0.7
Sep-2000,3.8
Dec-2000,0.3
Mar-2001,1.1
Jun-2001,0.8
Sep-2001,0.3
Dec-2001,0.9
Mar-2002,0.9
Jun-2002,0.7
Sep-2002,0.7
Dec-2002,0.6
Mar-2003,1.3
Jun-2003,0.0
Sep-2003,0.6
Dec-2003,0.5
Mar-2004,0.9
Jun-2004,0.5
Sep-2004,0.4
Dec-2004,0.7
Mar-2005,0.7
Jun-2005,0.6
Sep-2005,1.0
Dec-2005,0.5
Mar-2006,0.8
Jun-2006,1.7
Sep-2006,0.9
Dec-2006,-0.1
Mar-2007,0.0
Jun-2007,1.3
Sep-2007,0.7
Dec-2007,0.9
Mar-2008,1.3
Jun-2008,1.4
Sep-2008,1.2
Dec-2008,-0.3
Mar-2009,0.1
Jun-2009,0.4
Sep-2009,1.0
Dec-2009,0.5
Mar-2010,1.0
Jun-2010,0.6
Sep-2010,0.7
Dec-2010,0.4
Mar-2011,1.4
Jun-2011,0.9
Sep-2011,0.6
Dec-2011,0.0
Mar-2012,0.1
Jun-2012,0.5
Sep-2012,1.4
Dec-2012,0.2
Mar-2013,0.4
Jun-2013,0.4
Sep-2013,1.2
Dec-2013,0.8
Mar-2014,0.6
Jun-2014,0.5
Sep-2014,0.5
Dec-2014,0.2
Mar-2015,0.2
Jun-2015,0.7
Sep-2015,0.5
Dec-2015,0.4
Mar-2016,-0.2
Jun-2016,0.4
Sep-2016,0.7
Dec-2016,0.5
Mar-2017,0.5
Jun-2017,0.2
Sep-2017,0.6
Dec-2017,0.6
Mar-2018,0.4
Jun-2018,0.4
Sep-2018,0.4
