Month,Journeys
2016-Jul,"28819249"
2016-Aug,"32393980"
2016-Sep,"30648352"
2016-Oct,"30106833"
2016-Nov,"31318279"
2016-Dec,"28189584"
2017-Jan,"26735422"
2017-Feb,"28767036"
2017-Mar,"34566385"
2017-Apr,"28745729"
2017-May,"34863010"
2017-Jun,"31706870"
2017-Jul,"31070534"
2017-Aug,"34285607"
2017-Sep,"32067318"
2017-Oct,"32910234"
2017-Nov,"33457124"
2017-Dec,"29467889"
2018-Jan,"28186866"
2018-Feb,"30036091"
2018-Mar,"34967488"
2018-Apr,"31512166"
2018-May,"36322565"
2018-Jun,"32604345"
2018-Jul,"33053594"
2018-Aug,"35713800"
2018-Sep,"33021482"
2018-Oct,"34487367"
