Month,Turnover
Apr-1982,1250.2
May-1982,1300.0
Jun-1982,1234.2
Jul-1982,1265.0
Aug-1982,1217.6
Sep-1982,1244.9
Oct-1982,1264.2
Nov-1982,1372.6
Dec-1982,1888.3
Jan-1983,1214.5
Feb-1983,1240.6
Mar-1983,1375.7
Apr-1983,1344.2
May-1983,1379.9
Jun-1983,1325.8
Jul-1983,1328.1
Aug-1983,1366.3
Sep-1983,1370.8
Oct-1983,1412.3
Nov-1983,1541.6
Dec-1983,2119.6
Jan-1984,1299.1
Feb-1984,1348.1
Mar-1984,1433.6
Apr-1984,1352.8
May-1984,1519.4
Jun-1984,1376.9
Jul-1984,1421.9
Aug-1984,1462.9
Sep-1984,1397.5
Oct-1984,1536.0
Nov-1984,1640.7
Dec-1984,2174.7
Jan-1985,1471.3
Feb-1985,1366.3
Mar-1985,1488.3
Apr-1985,1521.9
May-1985,1716.5
Jun-1985,1507.1
Jul-1985,1679.4
Aug-1985,1637.4
Sep-1985,1577.6
Oct-1985,1764.1
Nov-1985,1900.0
Dec-1985,2509.5
Jan-1986,1684.3
Feb-1986,1516.2
Mar-1986,1611.5
Apr-1986,1681.0
May-1986,1898.1
Jun-1986,1664.2
Jul-1986,1814.5
Aug-1986,1766.5
Sep-1986,1790.7
Oct-1986,1901.8
Nov-1986,1943.2
Dec-1986,2732.9
Jan-1987,1790.4
Feb-1987,1659.8
Mar-1987,1762.6
Apr-1987,1825.4
May-1987,1926.6
Jun-1987,1839.2
Jul-1987,1953.9
Aug-1987,1870.7
Sep-1987,1923.2
Oct-1987,2034.3
Nov-1987,2092.9
Dec-1987,2888.1
Jan-1988,1924.0
Feb-1988,1899.4
Mar-1988,2039.8
Apr-1988,1948.0
May-1988,2051.2
Jun-1988,1980.9
Jul-1988,1985.4
Aug-1988,1997.5
Sep-1988,2078.8
Oct-1988,2131.5
Nov-1988,2352.8
Dec-1988,3252.4
Jan-1989,2140.0
Feb-1989,1984.8
Mar-1989,2247.5
Apr-1989,2181.4
May-1989,2314.2
Jun-1989,2289.2
Jul-1989,2254.4
Aug-1989,2299.0
Sep-1989,2363.4
Oct-1989,2380.7
Nov-1989,2622.7
Dec-1989,3428.9
Jan-1990,2305.3
Feb-1990,2168.4
Mar-1990,2422.6
Apr-1990,2320.8
May-1990,2494.2
Jun-1990,2400.0
Jul-1990,2352.1
Aug-1990,2467.1
Sep-1990,2379.4
Oct-1990,2520.7
Nov-1990,2677.5
Dec-1990,3390.7
Jan-1991,2420.6
Feb-1991,2240.5
Mar-1991,2456.5
Apr-1991,2424.2
May-1991,2607.8
Jun-1991,2405.5
Jul-1991,2595.4
Aug-1991,2641.7
Sep-1991,2522.1
Oct-1991,2765.4
Nov-1991,2852.5
Dec-1991,3561.7
Jan-1992,2628.2
Feb-1992,2510.0
Mar-1992,2591.3
Apr-1992,2679.8
May-1992,2723.2
Jun-1992,2590.8
Jul-1992,2694.2
Aug-1992,2548.2
Sep-1992,2648.4
Oct-1992,2780.7
Nov-1992,2812.0
Dec-1992,3644.5
Jan-1993,2564.7
Feb-1993,2408.1
Mar-1993,2607.0
Apr-1993,2583.9
May-1993,2681.0
Jun-1993,2573.1
Jul-1993,2575.9
Aug-1993,2509.0
Sep-1993,2652.0
Oct-1993,2770.5
Nov-1993,2880.9
Dec-1993,3850.4
Jan-1994,2703.0
Feb-1994,2539.8
Mar-1994,2889.5
Apr-1994,2699.7
May-1994,2826.5
Jun-1994,2803.8
Jul-1994,2814.6
Aug-1994,2890.2
Sep-1994,2920.5
Oct-1994,3005.2
Nov-1994,3121.0
Dec-1994,4071.9
Jan-1995,2876.8
Feb-1995,2690.8
Mar-1995,3001.4
Apr-1995,2962.4
May-1995,3064.3
Jun-1995,2995.7
Jul-1995,3070.5
Aug-1995,3117.0
Sep-1995,3128.7
Oct-1995,3262.5
Nov-1995,3470.8
Dec-1995,4477.4
Jan-1996,3243.7
Feb-1996,3116.6
Mar-1996,3268.7
Apr-1996,3214.8
May-1996,3375.1
Jun-1996,3239.0
Jul-1996,3349.6
Aug-1996,3358.5
Sep-1996,3239.6
Oct-1996,3434.7
Nov-1996,3534.8
Dec-1996,4478.3
Jan-1997,3318.8
Feb-1997,3051.3
Mar-1997,3293.2
Apr-1997,3196.8
May-1997,3440.9
Jun-1997,3211.4
Jul-1997,3399.7
Aug-1997,3306.9
Sep-1997,3344.9
Oct-1997,3520.8
Nov-1997,3601.5
Dec-1997,4684.7
Jan-1998,3491.6
Feb-1998,3083.5
Mar-1998,3315.2
Apr-1998,3345.4
May-1998,3457.8
Jun-1998,3263.0
Jul-1998,3476.1
Aug-1998,3304.9
Sep-1998,3397.4
Oct-1998,3617.3
Nov-1998,3603.4
Dec-1998,4670.5
Jan-1999,3574.8
Feb-1999,3163.1
Mar-1999,3499.5
Apr-1999,3528.9
May-1999,3605.1
Jun-1999,3422.2
Jul-1999,3583.1
Aug-1999,3521.7
Sep-1999,3661.6
Oct-1999,3780.5
Nov-1999,3848.4
Dec-1999,5057.4
Jan-2000,3581.9
Feb-2000,3381.7
Mar-2000,3638.8
Apr-2000,3538.7
May-2000,3712.8
Jun-2000,3928.5
Jul-2000,3528.6
Aug-2000,3736.8
Sep-2000,3991.7
Oct-2000,3955.3
Nov-2000,4034.9
Dec-2000,5266.6
Jan-2001,3932.9
Feb-2001,3569.5
Mar-2001,3999.0
Apr-2001,3918.2
May-2001,4087.5
Jun-2001,3904.2
Jul-2001,4016.7
Aug-2001,4030.0
Sep-2001,3984.9
Oct-2001,4242.6
Nov-2001,4417.4
Dec-2001,5609.6
Jan-2002,4244.3
Feb-2002,3747.0
Mar-2002,4153.2
Apr-2002,4098.6
May-2002,4362.7
Jun-2002,4076.9
Jul-2002,4264.8
Aug-2002,4376.7
Sep-2002,4285.1
Oct-2002,4534.9
Nov-2002,4753.7
Dec-2002,5901.4
Jan-2003,4452.1
Feb-2003,3961.9
Mar-2003,4349.9
Apr-2003,4379.0
May-2003,4529.7
Jun-2003,4334.4
Jul-2003,4504.0
Aug-2003,4526.3
Sep-2003,4613.6
Oct-2003,4946.6
Nov-2003,5062.9
Dec-2003,6316.2
Jan-2004,4791.1
Feb-2004,4353.8
Mar-2004,4678.1
Apr-2004,4673.5
May-2004,4772.0
Jun-2004,4677.0
Jul-2004,4831.4
Aug-2004,4679.7
Sep-2004,4841.5
Oct-2004,5021.0
Nov-2004,5144.6
Dec-2004,6517.2
Jan-2005,4887.2
Feb-2005,4377.8
Mar-2005,4825.0
Apr-2005,4674.5
May-2005,4765.7
Jun-2005,4803.5
Jul-2005,4821.7
Aug-2005,4806.6
Sep-2005,4896.1
Oct-2005,5093.9
Nov-2005,5277.6
Dec-2005,6687.5
Jan-2006,4979.4
Feb-2006,4496.9
Mar-2006,5003.8
Apr-2006,4953.0
May-2006,5036.8
Jun-2006,5044.5
Jul-2006,5081.7
Aug-2006,5081.5
Sep-2006,5118.6
Oct-2006,5352.2
Nov-2006,5573.7
Dec-2006,7014.5
Jan-2007,5293.0
Feb-2007,4791.5
Mar-2007,5408.0
Apr-2007,5187.5
May-2007,5316.4
Jun-2007,5321.7
Jul-2007,5428.0
Aug-2007,5538.0
Sep-2007,5537.3
Oct-2007,5784.4
Nov-2007,6027.4
Dec-2007,7552.0
Jan-2008,5666.2
Feb-2008,5216.4
Mar-2008,5513.5
Apr-2008,5416.9
May-2008,5588.5
Jun-2008,5376.1
Jul-2008,5498.5
Aug-2008,5446.9
Sep-2008,5371.9
Oct-2008,5763.7
Nov-2008,5945.4
Dec-2008,7733.9
Jan-2009,5990.9
Feb-2009,5189.9
Mar-2009,5751.0
Apr-2009,5795.8
May-2009,5943.7
Jun-2009,5799.4
Jul-2009,5884.7
Aug-2009,5861.6
Sep-2009,5852.2
Oct-2009,6315.2
Nov-2009,6603.4
Dec-2009,8259.6
Jan-2010,6229.9
Feb-2010,5389.3
Mar-2010,6038.6
Apr-2010,5846.5
May-2010,6087.5
Jun-2010,6005.4
Jul-2010,6215.9
Aug-2010,6144.2
Sep-2010,6174.6
Oct-2010,6333.6
Nov-2010,6621.3
Dec-2010,8387.7
Jan-2011,6343.8
Feb-2011,5614.9
Mar-2011,6136.0
Apr-2011,6053.8
May-2011,6038.9
Jun-2011,5971.9
Jul-2011,6161.2
Aug-2011,6175.6
Sep-2011,6255.1
Oct-2011,6482.9
Nov-2011,6781.2
Dec-2011,8558.2
Jan-2012,6317.7
Feb-2012,5764.9
Mar-2012,6271.1
Apr-2012,6116.0
May-2012,6350.6
Jun-2012,6353.2
Jul-2012,6337.6
Aug-2012,6444.8
Sep-2012,6434.3
Oct-2012,6664.3
Nov-2012,7003.2
Dec-2012,8598.7
Jan-2013,6647.5
Feb-2013,5927.2
Mar-2013,6531.4
Apr-2013,6340.0
May-2013,6542.1
Jun-2013,6413.3
Jul-2013,6480.5
Aug-2013,6675.2
Sep-2013,6604.1
Oct-2013,7028.2
Nov-2013,7393.5
Dec-2013,9189.0
Jan-2014,7237.4
Feb-2014,6355.1
Mar-2014,7045.2
Apr-2014,6914.8
May-2014,7078.5
Jun-2014,6932.2
Jul-2014,7178.3
Aug-2014,7135.1
Sep-2014,7330.2
Oct-2014,7759.8
Nov-2014,8020.7
Dec-2014,9825.4
Jan-2015,7663.1
Feb-2015,6730.3
Mar-2015,7455.4
Apr-2015,7250.0
May-2015,7476.0
Jun-2015,7436.6
Jul-2015,7575.9
Aug-2015,7542.5
Sep-2015,7664.8
Oct-2015,8168.2
Nov-2015,8351.7
Dec-2015,10383.7
Jan-2016,7997.5
Feb-2016,7301.0
Mar-2016,7847.1
Apr-2016,7703.5
May-2016,7796.0
Jun-2016,7756.2
Jul-2016,7792.0
Aug-2016,7805.4
Sep-2016,8043.8
Oct-2016,8383.1
Nov-2016,8744.0
Dec-2016,10783.1
Jan-2017,8199.0
Feb-2017,7298.9
Mar-2017,8085.8
Apr-2017,7883.7
May-2017,8132.0
Jun-2017,8130.1
Jul-2017,8061.9
Aug-2017,8090.2
Sep-2017,8205.9
Oct-2017,8556.0
Nov-2017,9036.0
Dec-2017,10960.7
Jan-2018,8365.6
Feb-2018,7527.1
Mar-2018,8436.2
Apr-2018,8041.3
May-2018,8438.3
Jun-2018,8354.4
Jul-2018,8304.6
Aug-2018,8474.8
Sep-2018,8387.7
